Congress.gov API record - S 2073 (118th Congress) full action history
Source: https://api.congress.gov/v3/bill/118/s/2073/actions (fetched 2026-08-28)
Total actions: 29

2024-07-31 | Floor | Message on Senate action sent to the House.
2024-07-30 | ResolvingDifferences | Senate concurred in the House amendment to S. 2073 with an amendment (SA 3021) by Yea-Nay Vote. 91 - 3. Record Vote Number: 221.
    RECORDED VOTE: Senate roll 221 2024-07-30T17:02:13Z https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00221.xml
2024-07-30 | NotUsed | Resolving differences -- Senate actions: Senate concurred in the House amendment to S. 2073 with an amendment (SA 3021) by Yea-Nay Vote. 91 - 3. Record Vote Number: 221.
    RECORDED VOTE: Senate roll 221 2024-07-30T17:02:13Z https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00221.xml
2024-07-30 | Floor | Considered by Senate (Message from the House considered). (consideration: CR S5566)
2024-07-25 | Floor | Motion by Senator Schumer to refer to Senate Committee on Homeland Security and Governmental Affairs with instructions to report back forthwith with the following amendment (SA 3023) fell when cloture was invoked on the motion to concur in the House amendment to S. 2073 in Senate.
2024-07-25 | Floor | Cloture on the motion to concur in the House amendment to S. 2073 invoked in Senate by Yea-Nay Vote. 86 - 1. Record Vote Number: 219. (CR S5505)
    RECORDED VOTE: Senate roll 219 2024-07-25T19:39:42Z https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00219.xml
2024-07-25 | Floor | Considered by Senate (Message from the House considered). (consideration: CR S5489-5490, S5497-5505)
2024-07-23 | Floor | Motion by Senator Schumer to refer to Senate Committee on Homeland Security and Governmental Affairs the House message to accompany S. 2073 with instructions to report back forthwith with the following amendment (SA 3023) made in Senate. (CR S5174)
2024-07-23 | Floor | Cloture motion on the motion to concur in the House amendment to S. 2073 with an amendment (SA 3021) presented in Senate. (CR S5174)
2024-07-23 | Floor | Motion by Senator Schumer to concur in the House amendment to S. 2073 with an amendment (SA 3021) made in Senate. (CR S5174)
2024-07-23 | Floor | Measure laid before Senate by unanimous consent. (consideration: CR S5174-5175)
2024-05-07 | Floor | Message on House action received in Senate and at desk: House amendment to Senate bill.
2024-05-06 | Floor | Motion to reconsider laid on the table Agreed to without objection.
2024-05-06 | Floor | On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote. (text: CR H2850-2851)
2024-05-06 | Floor | Passed/agreed to in House: On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote. (text: CR H2850-2851)
2024-05-06 | Floor | DEBATE - The House proceeded with forty minutes of debate on S. 2073.
2024-05-06 | Floor | Considered under suspension of the rules. (consideration: CR H2850-2852)
2024-05-06 | Floor | Mr. LaTurner moved to suspend the rules and pass the bill, as amended.
2023-12-22 | Floor | Held at the desk.
2023-12-22 | Floor | Received in the House.
2023-12-20 | Floor | Message on Senate action sent to the House.
2023-12-18 | Floor | Passed Senate with an amendment by Unanimous Consent. (consideration: CR S6027; text: CR S6027)
2023-12-18 | Floor | Passed/agreed to in Senate: Passed Senate with an amendment by Unanimous Consent.(consideration: CR S6027; text: CR S6027)
2023-08-22 | Calendars | Placed on Senate Legislative Calendar under General Orders. Calendar No. 194.
2023-08-22 | Committee | Committee on Homeland Security and Governmental Affairs. Reported by Senator Peters under authority of the order of the Senate of 07/27/2023 with an amendment in the nature of a substitute. With written report No. 118-91.
2023-08-22 | Committee | Committee on Homeland Security and Governmental Affairs. Reported by Senator Peters under authority of the order of the Senate of 07/27/2023 with an amendment in the nature of a substitute. With written report No. 118-91.
2023-07-26 | Committee | Committee on Homeland Security and Governmental Affairs. Ordered to be reported with an amendment in the nature of a substitute favorably.
2023-06-21 | IntroReferral | Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
2023-06-21 | IntroReferral | Introduced in Senate
