Congress.gov API — Nominations, 119th Congress
Endpoint: https://api.congress.gov/v3/nomination/119 (limit=250, all pages)
Fetched: 2026-08-31
Total nomination records returned by the API: 2077
Tally of latestAction.text by leading phrase: {
 "confirmed": 1622,
 "other": 95,
 "pending-calendar": 42,
 "pending-referred": 205,
 "returned": 113
}

--- one line per nomination: citation | number | organization | latestAction.text ---
PN12-33 | 12 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 52 - 43. Record Vote Number: 293.
PN25-25 | 25 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-46 | 25 | Department of Education | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN13-13 | 13 | Department of Education | Received message of withdrawal of nomination from the President.
PN26-15 | 26 | Department of Homeland Security | Confirmed by the Senate by Yea-Nay Vote. 52 - 47. Record Vote Number: 390.
PN26-44 | 26 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN25-2 | 25 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN129-4 | 129 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 450.
PN129-16 | 129 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN901-9 | 901 | Department of Veterans Affairs | Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 119-442.
PN931-7 | 931 | Department of Veterans Affairs | Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 119-442.
PN730-2 | 730 | Federal Labor Relations Authority | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN730-36 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN730-59 | 730 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN730-38 | 730 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN787-2 | 787 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN786-10 | 786 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN786-5 | 786 | African Development Foundation | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN730-18 | 730 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN730-23 | 730 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN730-11 | 730 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN806-7 | 806 | Consumer Product Safety Commission | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN852-3 | 852 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN806-2 | 806 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN850 | 850 | National Archives and Records Administration | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN852-2 | 852 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN806-9 | 806 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN806-5 | 806 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN792 | 792 | National Endowment for the Humanities | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN901-1 | 901 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN859-5 | 859 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN859-2 | 859 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN859-1 | 859 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN859-6 | 859 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN852-6 | 852 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN852-5 | 852 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN852-9 | 852 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN852-11 | 852 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN930-1 | 930 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN901-6 | 901 | National Labor Relations Board | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN901-3 | 901 | National Transportation Safety Board | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN901-7 | 901 | National Labor Relations Board | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN901-2 | 901 | Department of Homeland Security | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN901-10 | 901 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN901-5 | 901 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN901-12 | 901 | Merit Systems Protection Board | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN901-11 | 901 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN931-3 | 931 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN930-8 | 930 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN931-4 | 931 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN931-5 | 931 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN930-6 | 930 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN931-2 | 931 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN931-6 | 931 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN930-5 | 930 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN933 | 933 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN937-2 | 937 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
PN961-1 | 961 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 225.
