Congress.gov API record - H.J.Res. 140 (119th Congress) full action history
Source: https://api.congress.gov/v3/bill/119/hjres/140/actions (fetched 2026-09-01)
Format: actionDate | type | sourceSystem | text

2026-01-12 | IntroReferral | House floor actions | Referred to the House Committee on Natural Resources.
2026-01-12 | IntroReferral | Library of Congress | Introduced in House
2026-01-12 | IntroReferral | Library of Congress | Introduced in House
2026-01-20 | Floor | House floor actions | Rules Committee Resolution H. Res. 1009 Reported to House. Rule provides for consideration of H.R. 6945, H.R. 6359 and H.J. Res. 140. The resolution provides for consideration of H.R. 6945, H.R. 6359, and H.J. Res. 140 under a closed rule with one hour of general debate and one motion to recommit on each measure.
2026-01-21 | Floor | House floor actions | Motion to reconsider laid on the table Agreed to without objection.
2026-01-21 | Floor | House floor actions | On passage Passed by the Yeas and Nays: 214 - 208 (Roll no. 38). (text: CR H1147)
2026-01-21 | Floor | Library of Congress | Passed/agreed to in House: On passage Passed by the Yeas and Nays: 214 - 208 (Roll no. 38). (text: CR H1147)
2026-01-21 | Floor | House floor actions | Considered as unfinished business. (consideration: CR H1156-1157)
2026-01-21 | Floor | House floor actions | POSTPONED PROCEEDINGS - At the conclusion of debate on H.J. Res. 140, the Chair put the question on passage of the joint resolution and by voice vote, announced the ayes had prevailed. Mr. Huffman demanded the yeas and nays and the Chair postponed further proceedings until a time to be announced.
2026-01-21 | Floor | House floor actions | The previous question was ordered pursuant to the rule.
2026-01-21 | Floor | House floor actions | DEBATE - The House proceeded with one hour of debate on H.J. Res. 140.
2026-01-21 | Floor | House floor actions | Rule provides for consideration of H.R. 6945, H.R. 6359 and H.J. Res. 140. The resolution provides for consideration of H.R. 6945, H.R. 6359, and H.J. Res. 140 under a closed rule with one hour of general debate and one motion to recommit on each measure.
2026-01-21 | Floor | House floor actions | Considered under the provisions of rule H. Res. 1009. (consideration: CR H1147-1155)
2026-01-21 | Floor | House floor actions | Rule H. Res. 1009 passed House.
2026-01-26 | IntroReferral | Senate | Received in the Senate, read twice.
2026-04-15 | Floor | Senate | Measure laid before Senate by motion.
2026-04-15 | Floor | Senate | Motion to proceed to consideration of measure agreed to in Senate by Yea-Nay Vote. 51 - 49. Record Vote Number: 83. (CR S1790)
2026-04-15 | Floor | Senate | Motion to table the point of order that the measure is not entitled to expedited procedures under the Congressional Review Act agreed to in Senate by Yea-Nay Vote. 51 - 48. Record Vote Number: 82.
2026-04-15 | Floor | Senate | Point of order that the measure is not entitled to expedited procedures under the Congressional Review Act raised in Senate. (CR S1780)
2026-04-15 | Floor | Senate | Motion to proceed to consideration of measure made in Senate. (consideration: CR S1779-1780)
2026-04-16 | Floor | Senate | Message on Senate action sent to the House.
2026-04-16 | Floor | Senate | Passed Senate without amendment by Yea-Nay Vote. 50 - 49. Record Vote Number: 84.
2026-04-16 | Floor | Library of Congress | Passed/agreed to in Senate: Passed Senate without amendment by Yea-Nay Vote. 50 - 49. Record Vote Number: 84.
2026-04-16 | Floor | Senate | Considered by Senate. (consideration: CR S1807-1812)
2026-04-17 | Floor | House floor actions | Presented to President.
2026-04-17 | President | Library of Congress | Presented to President.
2026-04-27 | President | Library of Congress | Became Public Law No: 119-85.
2026-04-27 | BecameLaw | Library of Congress | Became Public Law No: 119-85.
2026-04-27 | President | Library of Congress | Signed by President.
2026-04-27 | BecameLaw | Library of Congress | Signed by President.
