SOURCE: Congress.gov API — bill/119/hr/1346 (status, actions, cosponsors), fetched 2026-09-01
BILL: H.R. 1346, 119th Congress — To amend the Clean Air Act with respect to the ethanol waiver for Reid Vapor Pressure under that Act, and for other purposes.
Origin chamber: House. Policy area: Environmental Protection.
Introduced: 2025-02-13
Sponsor: Rep. Smith, Adrian [R-NE-3] (R-NE)
Cosponsors: 55 (including withdrawn: 55)
Cosponsors by party: D = 18, R = 37
Latest action (2026-05-14): Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.
CBO cost estimate: "H.R. 1346, Nationwide Consumer and Fuel Retailer Choice Act of 2025" — As reported by the House Committee on Rules on April 28, 2026 (published 2026-05-12) https://www.cbo.gov/publication/62425

FULL ACTION HISTORY (18 actions; date | source system | type | text)
2026-05-14 | Senate | IntroReferral | Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.
2026-05-13 | House floor actions | Floor | Motion to reconsider laid on the table Agreed to without objection.
2026-05-13 | House floor actions | Floor | On passage Passed by the Yeas and Nays: 218 - 203 (Roll no. 164). (text of amendment in the nature of a substitute: CR H3421-3422) [recorded vote: House Roll 164, session 2, https://clerk.house.gov/evs/2026/roll164.xml]
2026-05-13 | Library of Congress | Floor | Passed/agreed to in House: On passage Passed by the Yeas and Nays: 218 - 203 (Roll no. 164). (text of amendment in the nature of a substitute: CR H3421-3422) [recorded vote: House Roll 164, session 2, https://clerk.house.gov/evs/2026/roll164.xml]
2026-05-13 | House floor actions | Floor | On motion to recommit Failed by the Yeas and Nays: 112 - 309 (Roll no. 163). [recorded vote: House Roll 163, session 2, https://clerk.house.gov/evs/2026/roll163.xml]
2026-05-13 | House floor actions | Floor | Considered as unfinished business. (consideration: CR H3435-3436)
2026-05-13 | House floor actions | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on H.R. 1346, the Chair put the question on motion to recommit and by voice vote, announced the noes had prevailed. Mr. Perry demanded the yeas and nays and the Chair postponed further proceedings until a time to be announced.
2026-05-13 | House floor actions | Floor | The previous question on the motion to recommit was ordered pursuant to clause 2(b) of rule XIX.
2026-05-13 | House floor actions | Floor | Mr. Perry moved to recommit to the Committee on Energy and Commerce. (text: CR H3428)
2026-05-13 | House floor actions | Floor | The previous question was ordered pursuant to the rule.
2026-05-13 | House floor actions | Floor | DEBATE - The House proceeded with one hour of debate on H.R. 1346.
2026-05-13 | House floor actions | Floor | Rule provides for consideration of H.R. 7567, H.R. 2616, S. Con. Res. 33, S. 1318 and H.R. 1346. The resolution provides for consideration of H.R. 7567 under a structured rule and H.R. 2616, S. Con. Res. 33, S. 1318, and H.R. 1346 under a closed rule, with one hour of general debate on each measure. The resolution provides for one motion to recommit on H.R. 7567, H.R. 2616, and H.R. 1346, and one motion to commit on S. 1318.
2026-05-13 | House floor actions | Floor | Considered under the provisions of rule H. Res. 1224. (consideration: CR H3421-3428)
2026-04-29 | House floor actions | Floor | Rule H. Res. 1224 passed House.
2026-04-29 | House floor actions | Floor | Rules Committee Resolution H. Res. 1224 Reported to House. Rule provides for consideration of H.R. 7567, H.R. 2616, S. Con. Res. 33, S. 1318 and H.R. 1346. The resolution provides for consideration of H.R. 7567 under a structured rule and H.R. 2616, S. Con. Res. 33, S. 1318, and H.R. 1346 under a closed rule, with one hour of general debate on each measure. The resolution provides for one motion to recommit on H.R. 7567, H.R. 2616, and H.R. 1346, and one motion to commit on S. 1318.
2025-02-13 | House floor actions | IntroReferral | Referred to the House Committee on Energy and Commerce.
2025-02-13 | Library of Congress | IntroReferral | Introduced in House
2025-02-13 | Library of Congress | IntroReferral | Introduced in House

COSPONSORS (55; name | party-state | date of cosponsorship | original?)
Rep. Craig, Angie [D-MN-2] | D-MN | 2025-02-13 | original
Rep. Johnson, Dusty [R-SD-At Large] | R-SD | 2025-02-13 | original
Rep. Budzinski, Nikki [D-IL-13] | D-IL | 2025-02-13 | original
Rep. Miller-Meeks, Mariannette [R-IA-1] | R-IA | 2025-02-13 | original
Rep. Davids, Sharice [D-KS-3] | D-KS | 2025-02-13 | original
Rep. Flood, Mike [R-NE-1] | R-NE | 2025-02-13 | original
Rep. Bost, Mike [R-IL-12] | R-IL | 2025-02-13 | original
Rep. Miller, Max L. [R-OH-7] | R-OH | 2025-02-13 | original
Rep. Miller, Mary E. [R-IL-15] | R-IL | 2025-02-13 | original
Rep. Finstad, Brad [R-MN-1] | R-MN | 2025-02-13 | original
Rep. Estes, Ron [R-KS-4] | R-KS | 2025-02-13 | original
Rep. LaHood, Darin [R-IL-16] | R-IL | 2025-02-13 | original
Rep. Moore, Blake D. [R-UT-1] | R-UT | 2025-02-13 | original
Rep. Van Orden, Derrick [R-WI-3] | R-WI | 2025-02-13 | original
Rep. Nunn, Zachary [R-IA-3] | R-IA | 2025-02-13 | original
Rep. Sorensen, Eric [D-IL-17] | D-IL | 2025-02-13 | original
Rep. Kelly, Robin L. [D-IL-2] | D-IL | 2025-02-13 | original
Rep. Alford, Mark [R-MO-4] | R-MO | 2025-02-13 | original
Rep. Taylor, David [R-OH-2] | R-OH | 2025-02-13 | original
Rep. Feenstra, Randy [R-IA-4] | R-IA | 2025-02-13 | original
Rep. Mann, Tracey [R-KS-1] | R-KS | 2025-02-13 | original
Rep. Hinson, Ashley [R-IA-2] | R-IA | 2025-02-13 | original
Rep. Fischbach, Michelle [R-MN-7] | R-MN | 2025-02-13 | original
Rep. Bacon, Don [R-NE-2] | R-NE | 2025-02-13 | original
Rep. Schmidt, Derek [R-KS-2] | R-KS | 2025-02-13 | original
Rep. Guest, Michael [R-MS-3] | R-MS | 2025-02-13 | original
Rep. Cleaver, Emanuel [D-MO-5] | D-MO | 2025-02-13 | original
Rep. McDonald Rivet, Kristen [D-MI-8] | D-MI | 2025-02-13 | original
Rep. Davis, Donald G. [D-NC-1] | D-NC | 2025-02-13 | original
Rep. Jack, Brian [R-GA-3] | R-GA | 2025-02-14 | added later
Rep. Carey, Mike [R-OH-15] | R-OH | 2025-02-14 | added later
Rep. Carter, Earl L. "Buddy" [R-GA-1] | R-GA | 2025-02-14 | added later
Rep. Graves, Sam [R-MO-6] | R-MO | 2025-02-14 | added later
Rep. Smith, Jason [R-MO-8] | R-MO | 2025-02-21 | added later
Rep. Comer, James [R-KY-1] | R-KY | 2025-02-21 | added later
Rep. Wagner, Ann [R-MO-2] | R-MO | 2025-02-24 | added later
Rep. Shreve, Jefferson [R-IN-6] | R-IN | 2025-02-25 | added later
Rep. Messmer, Mark [R-IN-8] | R-IN | 2025-03-11 | added later
Rep. Grothman, Glenn [R-WI-6] | R-WI | 2025-05-13 | added later
Rep. Bell, Wesley [D-MO-1] | D-MO | 2025-07-16 | added later
Rep. Brown, Shontel M. [D-OH-11] | D-OH | 2025-08-15 | added later
Rep. Mrvan, Frank J. [D-IN-1] | D-IN | 2025-08-29 | added later
Rep. Stevens, Haley M. [D-MI-11] | D-MI | 2025-09-15 | added later
Rep. Pocan, Mark [D-WI-2] | D-WI | 2025-09-18 | added later
Rep. McClain Delaney, April [D-MD-6] | D-MD | 2025-10-08 | added later
Rep. Moolenaar, John R. [R-MI-2] | R-MI | 2025-10-17 | added later
Rep. Baird, James R. [R-IN-4] | R-IN | 2025-10-28 | added later
Rep. Wied, Tony [R-WI-8] | R-WI | 2025-11-17 | added later
Rep. Kaptur, Marcy [D-OH-9] | D-OH | 2025-12-17 | added later
Rep. Fedorchak, Julie [R-ND-At Large] | R-ND | 2026-01-22 | added later
Rep. Tiffany, Thomas P. [R-WI-7] | R-WI | 2026-02-10 | added later
Rep. Houchin, Erin [R-IN-9] | R-IN | 2026-03-04 | added later
Rep. Riley, Josh [D-NY-19] | D-NY | 2026-04-21 | added later
Rep. Jackson, Jonathan L. [D-IL-1] | D-IL | 2026-04-29 | added later
Rep. Scholten, Hillary J. [D-MI-3] | D-MI | 2026-05-07 | added later

