Congress.gov API record - H.R. 5949 (112th Congress) status + full action history
Sources: https://api.congress.gov/v3/bill/112/hr/5949 , /actions (fetched 2026-09-01)

== H.R. 5949 ==
Title: FISA Amendments Act Reauthorization Act of 2012
Introduced: 2012-06-15  |  Policy area: Crime and Law Enforcement
Sponsor: Rep. SMITH, LAMAR [R-TX-21]
Cosponsors: 5
Latest action: 2012-12-30 - Became Public Law No: 112-238.
Actions:
  2012-12-30 | President | Became Public Law No: 112-238.
  2012-12-30 | BecameLaw | Became Public Law No: 112-238.
  2012-12-30 | President | Signed by President.
  2012-12-30 | BecameLaw | Signed by President.
  2012-12-30 | Floor | Presented to President.
  2012-12-30 | President | Presented to President.
  2012-12-28 | Floor | Message on Senate action sent to the House.
  2012-12-28 | Floor | Passed Senate, under the order of 12/21/12, having achieved 60 votes in the affirmative, without amendment by Yea-Nay. 73 - 23. Record Vote Number: 236.
  2012-12-28 | Floor | Passed/agreed to in Senate: Passed Senate, under the order of 12/21/12, having achieved 60 votes in the affirmative, without amendment by Yea-Nay. 73 - 23. Record Vote Number: 236.
  2012-12-28 | Floor | Considered by Senate. (consideration: CR S8455-8462)
  2012-12-27 | Floor | Measure laid before Senate by unanimous consent. (consideration: CR S8384-8410, S8411-8418, S8419-8425, S8427-8428)
  2012-09-19 | Calendars | Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 510.
  2012-09-13 | Calendars | Received in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.
  2012-09-12 | Floor | Motion to reconsider laid on the table Agreed to without objection.
  2012-09-12 | Floor | On passage Passed by the Yeas and Nays: 301 - 118 (Roll no. 569). (text: CR H5890)
  2012-09-12 | Floor | Passed/agreed to in House: On passage Passed by the Yeas and Nays: 301 - 118 (Roll no. 569).(text: CR H5890)
  2012-09-12 | Floor | Considered as unfinished business. (consideration: CR H5900-5901)
  2012-09-12 | Floor | POSTPONED PROCEEDINGS - The Chair put the question on adoption of H.R. 5949, and announced that the ayes had prevailed. Mr. Ruppersberger demanded the yeas and nays, and the Chair postponed further proceedings on question of adoption until later in the legislative day.
  2012-09-12 | Floor | The previous question was ordered pursuant to the rule. (consideration: CR H5900)
  2012-09-12 | Floor | DEBATE - The House proceeded with one hour of debate on H.R. 5949.
  2012-09-12 | Floor | Resolution provides for consideration of both H.R. 5544 and H.R. 5949. Both measures are debatable for one hour each. For H.R. 5544, specified amendments are in order. For H.R. 5949, the amendment in the nature of a substitute recommended by the Committee on the Judiciary now printed in the bill, shall be considered as adopted. For each bill, one motion to recommit is in order, with or without instructions.
  2012-09-12 | Floor | Considered under the provisions of rule H. Res. 773. (consideration: CR H5890-5901)
  2012-08-02 | Calendars | Placed on the Union Calendar, Calendar No. 463.
  2012-08-02 | Committee | Reported (Amended) by the Committee on Intelligence. H. Rept. 112-645, Part II.
  2012-08-02 | Committee | Reported (Amended) by the Committee on Intelligence. H. Rept. 112-645, Part II.
  2012-08-02 | Committee | Reported (Amended) by the Committee on Judiciary. H. Rept. 112-645, Part I.
  2012-08-02 | Committee | Reported (Amended) by the Committee on Judiciary. H. Rept. 112-645, Part I.
  2012-06-19 | Committee | Ordered to be Reported by the Yeas and Nays: 23 - 11.
  2012-06-19 | Committee | Committee Consideration and Mark-up Session Held.
  2012-06-15 | IntroReferral | Referred to the Committee on the Judiciary, and in addition to the Committee on Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.
  2012-06-15 | IntroReferral | Referred to the Committee on the Judiciary, and in addition to the Committee on Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.
  2012-06-15 | IntroReferral | Introduced in House
  2012-06-15 | IntroReferral | Introduced in House

