Congress.gov API record - HR 6387 (119th Congress) full action history
Source: https://api.congress.gov/v3/bill/119/hr/6387/actions (fetched 2026-09-03)

2025-12-03 | Committee | Referred to the Subcommittee on Environment.
2025-12-03 | IntroReferral | Referred to the House Committee on Energy and Commerce.
2025-12-03 | IntroReferral | Introduced in House
2025-12-03 | IntroReferral | Introduced in House
2025-12-10 | Committee | Forwarded by Subcommittee to Full Committee by the Yeas and Nays: 13 - 10.
2025-12-10 | Committee | Subcommittee Consideration and Mark-up Session Held
2026-01-21 | Committee | Ordered to be Reported by the Yeas and Nays: 27 - 23.
2026-01-21 | Committee | Committee Consideration and Mark-up Session Held
2026-04-09 | Calendars | Placed on the Union Calendar, Calendar No. 515.
2026-04-09 | Committee | Reported by the Committee on Energy and Commerce. H. Rept. 119-595.
2026-04-09 | Committee | Reported by the Committee on Energy and Commerce. H. Rept. 119-595.
2026-04-15 | Floor | Rules Committee Resolution H. Res. 1174 Reported to House. Rule provides for consideration of H.R. 6387, H.R. 6398, H.R. 6409 and H. Res. 1156. The resolution provides for consideration of each measure under a closed rule with one hour of general debate on each measure. The resolution also provides one motion to recommit on H.R. 6387, H.R. 6398, and H.R. 6409.
2026-04-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on H.R. 6387, the Chair put the question on the motion to recommit and by voice vote, announced that the noes had prevailed. Ms. Dexter demanded the yeas and nays and the Chair postponed further proceedings until a time to be announced.
2026-04-21 | Floor | The previous question on the motion to recommit was ordered pursuant to clause 2(b) of rule XIX.
2026-04-21 | Floor | Ms. Dexter moved to recommit to the Committee on Energy and Commerce. (CR H3019)
2026-04-21 | Floor | The previous question was ordered pursuant to the rule.
2026-04-21 | Floor | DEBATE - The House proceeded with one hour of debate on H.R. 6387.
2026-04-21 | Floor | Rule provides for consideration of H.R. 6387, H.R. 6398, H.R. 6409 and H. Res. 1156. The resolution provides for consideration of each measure under a closed rule with one hour of general debate on each measure. The resolution also provides one motion to recommit on H.R. 6387, H.R. 6398, and H.R. 6409.
2026-04-21 | Floor | Considered under the provisions of rule H. Res. 1174. (consideration: CR H3013-3019; text: CR H3013)
2026-04-22 | Floor | Motion to reconsider laid on the table Agreed to without objection.
2026-04-22 | Floor | On passage Passed by the Yeas and Nays: 220 - 198 (Roll no. 136). (text: CR 4/21/2026 H3013)
2026-04-22 | Floor | Passed/agreed to in House: On passage Passed by the Yeas and Nays: 220 - 198 (Roll no. 136). (text: CR 4/21/2026 H3013)
2026-04-22 | Floor | On motion to recommit Failed by the Yeas and Nays: 206 - 214 (Roll no. 135).
2026-04-22 | Floor | Considered as unfinished business. (consideration: CR H3064-3065)
2026-04-27 | IntroReferral | Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.
