SOURCE: Congress.gov API - bill/119/hr/6509/cosponsors (fetched 2026-08-31)
Total cosponsors: 19
Party breakdown: R 14, D 5
Original cosponsors: 1 (Rep. Carson, Andre [D-IN-7], 2025-12-09)
Withdrawn cosponsors: 0

Full list (name | party | state | sponsorship date | original):
Rep. Carson, André [D-IN-7] | D | IN | 2025-12-09 | original=true
Rep. McGuire, John J. [R-VA-5] | R | VA | 2026-01-30 | original=false
Rep. Vindman, Eugene Simon [D-VA-7] | D | VA | 2026-01-30 | original=false
Rep. Moran, Nathaniel [R-TX-1] | R | TX | 2026-02-11 | original=false
Rep. Ross, Deborah K. [D-NC-2] | D | NC | 2026-02-11 | original=false
Rep. Miller, Carol D. [R-WV-1] | R | WV | 2026-03-03 | original=false
Rep. Tenney, Claudia [R-NY-24] | R | NY | 2026-03-03 | original=false
Rep. McDowell, Addison P. [R-NC-6] | R | NC | 2026-03-05 | original=false
Rep. Bean, Aaron [R-FL-4] | R | FL | 2026-03-17 | original=false
Rep. Kelly, Mike [R-PA-16] | R | PA | 2026-03-18 | original=false
Rep. Baird, James R. [R-IN-4] | R | IN | 2026-04-13 | original=false
Rep. Houchin, Erin [R-IN-9] | R | IN | 2026-04-15 | original=false
Rep. Fong, Vince [R-CA-20] | R | CA | 2026-05-12 | original=false
Rep. Shreve, Jefferson [R-IN-6] | R | IN | 2026-05-12 | original=false
Rep. Messmer, Mark B. [R-IN-8] | R | IN | 2026-05-20 | original=false
Rep. Edwards, Chuck [R-NC-11] | R | NC | 2026-06-02 | original=false
Rep. Mrvan, Frank J. [D-IN-1] | D | IN | 2026-07-09 | original=false
Rep. Stutzman, Marlin A. [R-IN-3] | R | IN | 2026-07-13 | original=false
Rep. Davis, Donald G. [D-NC-1] | D | NC | 2026-07-21 | original=false
