Congress.gov API record - H.R. 7888 (118th Congress) status + full action history
Sources: https://api.congress.gov/v3/bill/118/hr/7888 , /actions (fetched 2026-09-01)

== H.R. 7888 ==
Title: Reforming Intelligence and Securing America Act
Introduced: 2024-04-09  |  Policy area: Armed Forces and National Security
Sponsor: Rep. Lee, Laurel [R-FL-15]
Cosponsors: 0
Latest action: 2024-04-20 - Became Public Law No: 118-49.
Laws: [{"number":"118-49","type":"Public Law"}]
Actions:
  2024-04-20 | President | Became Public Law No: 118-49.
  2024-04-20 | BecameLaw | Became Public Law No: 118-49.
  2024-04-20 | President | Signed by President.
  2024-04-20 | BecameLaw | Signed by President.
  2024-04-20 | Floor | Presented to President.
  2024-04-20 | President | Presented to President.
  2024-04-20 | Floor | Message on Senate action sent to the House.
  2024-04-19 | Floor | Passed Senate, under the order of 4/19/2024, having achieved 60 votes in the affirmative, without amendment by Yea-Nay Vote. 60 - 34. Record Vote Number: 150.
  2024-04-19 | Floor | Passed/agreed to in Senate: Passed Senate, under the order of 4/19/2024, having achieved 60 votes in the affirmative, without amendment by Yea-Nay Vote. 60 - 34. Record Vote Number: 150.
  2024-04-19 | Floor | Measure laid before Senate by motion. (consideration: CR S2921-2928)
  2024-04-19 | Floor | Motion to proceed to consideration of measure agreed to in Senate by Yea-Nay Vote. 62 - 30. Record Vote Number: 143.
  2024-04-19 | Floor | Motion to proceed to measure considered in Senate. (CR S2907)
  2024-04-18 | Floor | Cloture on the motion to proceed to the measure invoked in Senate by Yea-Nay Vote. 67 - 32. Record Vote Number: 141. (CR S2838)
  2024-04-18 | Floor | Motion to proceed to measure considered in Senate. (CR S2833)
  2024-04-17 | Floor | Motion to proceed to measure considered in Senate. (CR S2797)
  2024-04-16 | Floor | Cloture motion on the motion to proceed to the measure presented in Senate. (CR S2762)
  2024-04-16 | Floor | Motion to proceed to consideration of measure made in Senate. (CR S2762)
  2024-04-15 | Calendars | Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 365.
  2024-04-15 | Calendars | Received in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time. (Legislative Day April 10, 2024).
  2024-04-15 | Floor | Motion to reconsider laid on the table.
  2024-04-15 | Floor | On motion to table the motion to reconsider Agreed to by recorded vote: 259 - 128 (Roll no. 120).
  2024-04-15 | ResolvingDifferences | Mr. Turner moved to table the motion to reconsider
  2024-04-15 | Floor | Considered as unfinished business. (consideration: CR H2382-2383)
  2024-04-12 | Floor | POSTPONED PROCEEDINGS - The Chair put the question on the motion to table the motion to reconsider and by voice vote announced that the ayes had prevailed. Mrs. Luna demanded a recorded vote and the Chair postponed further proceedings until a time to be announced.
  2024-04-12 | ResolvingDifferences | Mr. Turner moved to table the motion to reconsider
  2024-04-12 | Floor | Ms. Lee (FL) moved to reconsider.
  2024-04-12 | Floor | Motion to reconsider laid upon the table. Objection heard.
  2024-04-12 | Floor | On passage Passed by recorded vote: 273 - 147 (Roll no. 119).
  2024-04-12 | Floor | Passed/agreed to in House: On passage Passed by recorded vote: 273 - 147 (Roll no. 119).
  2024-04-12 | Floor | The House adopted the amendments en gross as agreed to by the Committee of the Whole House on the state of the Union.
  2024-04-12 | Floor | The previous question was ordered pursuant to the rule.
  2024-04-12 | Floor | The House rose from the Committee of the Whole House on the state of the Union to report H.R. 7888.
  2024-04-12 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Turner amendment No. 6, the Chair put the question on agreeing to the amendment and by voice vote, announced that the ayes had prevailed. Mr. Turner demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
  2024-04-12 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1137, the Committee of the Whole proceeded with 10 minutes of debate on the Turner amendment No. 6.
