Congress.gov API record - HR 8646 (119th Congress) full action history
Source: https://api.congress.gov/v3/bill/119/hr/8646/actions (fetched 2026-08-28)

2026-05-01 | Calendars | Placed on the Union Calendar, Calendar No. 548.
2026-05-01 | Committee | The House Committee on Appropriations reported an original measure, H. Rept. 119-632, by Mr. Harris (MD).
2026-05-01 | Committee | The House Committee on Appropriations reported an original measure, H. Rept. 119-632, by Mr. Harris (MD).
2026-05-01 | Committee | The House Committee on Appropriations reported an original measure, H. Rept. 119-632, by Mr. Harris (MD).
2026-06-03 | Floor | Rules Committee Resolution H. Res. 1333 Reported to House. Rule provides for consideration of H.R. 8646, H.R. 7726, H.R. 7892 and H.R. 8872. The resolution provides for consideration of H.R. 8646 under a structured rule and H.R. 7726, H.R. 7892, and H.R. 8872 under a closed rule, with one hour of general debate on each bill. The resolution provides for one motion to recommit on each bill.
2026-06-04 | Floor | Motion to reconsider laid on the table Agreed to without objection.
2026-06-04 | Floor | On passage Passed by the Yeas and Nays: 213 - 210 (Roll no. 205). [roll 205 House 2026-06-04T22:09:40Z]
2026-06-04 | Floor | Passed/agreed to in House: On passage Passed by the Yeas and Nays: 213 - 210 (Roll no. 205). [roll 205 House 2026-06-04T22:09:40Z]
2026-06-04 | Floor | On motion to recommit Failed by the Yeas and Nays: 210 - 212 (Roll no. 204). [roll 204 House 2026-06-04T21:57:52Z]
2026-06-04 | Floor | The previous question on the motion to recommit was ordered pursuant to clause 2(b) of rule XIX.
2026-06-04 | Floor | Ms. Bynum moved to recommit to the Committee on Appropriations. (text: CR H3875)
2026-06-04 | Floor | Considered as unfinished business. (consideration: CR H3875-3876)
2026-06-04 | Floor | Pursuant to clause 1(c) of rule XIX, the House resumed with further consideration of H.R. 8646.
2026-06-04 | Floor | POSTPONED PROCEEDINGS - Pursuant to clause 1(c) of rule XIX, the Chair announced further proceedings on H.R. 8646 would be postponed.
2026-06-04 | Floor | The House adopted the amendments en gros as agreed to by the Committee of the Whole House on the state of the Union.
2026-06-04 | Floor | The previous question was ordered pursuant to the rule.
2026-06-04 | Floor | The House rose from the Committee of the Whole House on the state of the Union to report H.R. 8646.
2026-06-04 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1333, the Committee of the Whole proceeded with 20 minutes of debate on the Harris (MD) amendment en bloc.
2026-06-04 | Floor | GENERAL DEBATE - The Committee of the Whole proceeded with one hour of general debate on H.R. 8646.
2026-06-04 | Floor | The Speaker designated the Honorable Gabe Evans to act as Chairman of the Committee.
2026-06-04 | Floor | House resolved itself into the Committee of the Whole House on the state of the Union pursuant to H. Res. 1333 and Rule XVIII.
2026-06-04 | Floor | Rule provides for consideration of H.R. 8646, H.R. 7726, H.R. 7892 and H.R. 8872. The resolution provides for consideration of H.R. 8646 under a structured rule and H.R. 7726, H.R. 7892, and H.R. 8872 under a closed rule, with one hour of general debate on each bill. The resolution provides for one motion to recommit on each bill.
2026-06-04 | Floor | Considered under the provisions of rule H. Res. 1333. (consideration: CR H3838-3862; text: CR H3843-3860)
2026-06-08 | IntroReferral | Received in the Senate.
