Congress.gov API record - H.R. 8800 (119th Congress) full action history
Source: https://api.congress.gov/v3/bill/119/hr/8800/actions (fetched 2026-08-27)

2026-05-13 | IntroReferral | Referred to the House Committee on Armed Services.
2026-05-13 | IntroReferral | Introduced in House
2026-05-13 | IntroReferral | Introduced in House
2026-06-04 | Committee | Ordered to be Reported (Amended) by the Yeas and Nays: 44 - 12.
2026-06-04 | Committee | Committee Consideration and Mark-up Session Held
2026-06-15 | Calendars | Placed on the Union Calendar, Calendar No. 606.
2026-06-15 | Committee | Reported (Amended) by the Committee on Armed Services. H. Rept. 119-698.
2026-06-15 | Committee | Reported (Amended) by the Committee on Armed Services. H. Rept. 119-698.
2026-06-30 | Floor | Rules Committee Resolution H. Res. 1398 Reported to House. Rule provides for consideration of H.R. 8800, H.R. 8595, H.R. 8884 and H. Res. 1383. The resolution provides for consideration of H.R. 8800 and H.R. 8595 under a structured rule, and H.R. 8884 and H. Res. 1383 under a closed rule. The resolution provides for one hour of general debate on each measure and one motion to recommit on H.R. 8800, H.R. 8595, and H.R. 8884.
2026-07-20 | Floor | Rules Committee Resolution H. Res. 1438 Reported to House. Rule provides for consideration of H.R. 8800, H.R. 8884, H. Con. Res. 113, H.R. 7008, H.R. 6955 and H.R. 9770. The resolution provides for consideration of H.R. 8800 under a structured rule and for consideration of H.R. 8884, H. Con. Res. 113, H.R. 7008, H.R. 6955, and H.R. 9770 under a closed rule, with one hour of debate on each measure and one motion to recommit on H.R. 8800, H.R. 8884, H.R. 7008, H.R. 6955, and H.R. 9770.
2026-07-21 | Floor | Committee of the Whole House on the state of the Union rises leaving H.R. 8800 as unfinished business.
2026-07-21 | Floor | On motion that the committee rise Agreed to by voice vote.
2026-07-21 | Floor | Mr. Rogers (AL) moved that the committee rise.
2026-07-21 | Floor | The House resolved into Committee of the Whole House on the state of the Union for further consideration.
2026-07-21 | Floor | Considered as unfinished business. (consideration: CR H5008-5018)
2026-07-21 | Floor | Committee of the Whole House on the state of the Union rises leaving H.R. 8800 as unfinished business.
2026-07-21 | Floor | On motion that the committee rise Agreed to by voice vote.
2026-07-21 | Floor | Mr. Rogers (AL) moved that the committee rise.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the McDowell amendment No. 26, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Mr. Courtney demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the McDowell amendment No. 26.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Mace amendment No. 20, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Ms. Jacobs demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Mace amendment No. 20.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Mace amendment No. 19, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Mr. Cisneros demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Mace amendment No. 19.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Boebert amendment No. 18, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Mr. Takano demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Boebert amendment No. 18.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Crank amendment No. 17, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Ms. Tokuda demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Crank amendment No. 17.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Crane amendment No. 15, the Chair put the question on agreeing to the amendment and by voice vote, announced the noes had prevailed. Mr. Crane demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Crane amendment No. 15.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Crane amendment No. 14, the Chair put the question on agreeing to the amendment and by voice vote, announced the noes had prevailed. Mr. Crane demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Crane amendment No. 14.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Carter (GA) amendment No. 9, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Mr. Carbajal demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Carter (GA) amendment No. 9.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Gallagher amendment No. 8, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Mr. Carbajal demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Gallagher amendment No. 8.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Hunt amendment No. 7, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Mr. Carbajal demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Hunt amendment No. 7.
2026-07-21 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on the Hunt amendment No. 6, the Chair put the question on agreeing to the amendment and by voice vote, announced the ayes had prevailed. Mr. Garamendi demanded a recorded vote, and the Chair postponed further proceedings until a time to be announced.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 10 minutes of debate on the Hunt amendment No. 6.
2026-07-21 | Floor | DEBATE - Pursuant to the provisions of H. Res. 1438, the Committee of the Whole proceeded with 40 minutes of debate on the Rogers (AL) en bloc amendment No. 1.
