Congress.gov API record - H.R. 9238 (119th Congress) full action history
Title: To amend the FISA Amendments Act of 2008 to extend the authorities of title VII of the Foreign Intelligence Surveillance Act of 1978, and for other purposes.
Source: https://api.congress.gov/v3/bill/119/hr/9238/actions (fetched 2026-08-27)

2026-06-10 | IntroReferral | Introduced in House
2026-06-10 | IntroReferral | Introduced in House
2026-06-10 | IntroReferral | Referred to the Committee on the Judiciary, and in addition to the Committee on Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.
2026-06-10 | IntroReferral | Referred to the Committee on the Judiciary, and in addition to the Committee on Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.
2026-06-10 | Floor | Mr. Jordan moved to suspend the rules and pass the bill.
2026-06-10 | Floor | Considered under suspension of the rules. (consideration: CR H4079-4083; text: CR H4079)
2026-06-10 | Floor | DEBATE - The House proceeded with forty minutes of debate on H.R. 9238.
2026-06-10 | Floor | At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.
2026-06-11 | Floor | Considered as unfinished business. (consideration: CR H4098-4099)
2026-06-11 | Floor | Failed of passage/not agreed to in House On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 198 - 218 (Roll no. 221).
2026-06-11 | Floor | On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 198 - 218 (Roll no. 221).
