Congress.gov API record - S 1071 (119th Congress) full action history
Source: https://api.congress.gov/v3/bill/119/s/1071/actions (fetched 2026-08-31)

2025-03-14 | IntroReferral | Read twice and referred to the Committee on Veterans' Affairs.
2025-03-14 | IntroReferral | Introduced in Senate
2025-08-01 | Floor | Passed Senate without amendment by Unanimous Consent. (consideration: CR S5475; text: CR S5475)
2025-08-01 | Floor | Passed/agreed to in Senate: Passed Senate without amendment by Unanimous Consent.
2025-08-01 | Discharge | Senate Committee on Veterans' Affairs discharged by Unanimous Consent.
2025-08-01 | Committee | Senate Committee on Veterans' Affairs discharged by Unanimous Consent.
2025-08-08 | Floor | Held at the desk.
2025-08-08 | Floor | Received in the House.
2025-08-08 | Floor | Message on Senate action sent to the House.
2025-12-09 | Floor | Rules Committee Resolution H. Res. 936 Reported to House. Rule provides for consideration of H.R. 3898, H.R. 3383, H.R. 3638, H.R. 3628, H.R. 3668 and S. 1071. The resolution provides for consideration of H.R. 3898, H.R. 3383, H.R. 3638, and H.R. 3628 under a structured rule; and H.R. 3668 and S. 1071 under a closed rule. The resolution provides for one motion to recommit on H.R. 3898, H.R. 3383, H.R. 3638, H.R. 3628, and H.R. 3668; and one motion to commit on S. 1071.
2025-12-10 | Floor | Message on House action received in Senate and at desk: House amendment to Senate bill.
2025-12-10 | Floor | Motion to reconsider laid on the table Agreed to without objection.
2025-12-10 | Floor | On passage Passed by the Yeas and Nays: 312 - 112 (Roll no. 320). (text of amendment in the nature of a substitute: CR H5136-5510) [recordedVotes: House roll 320 2025-12-10T22:32:40Z session 1]
2025-12-10 | Floor | Passed/agreed to in House: On passage Passed by the Yeas and Nays: 312 - 112 (Roll no. 320). (text of amendment in the nature of a substitute: CR H5136-5510) [recordedVotes: House roll 320 2025-12-10T22:32:40Z session 1]
2025-12-10 | Floor | On motion to commit Failed by the Yeas and Nays: 209 - 216 (Roll no. 319). [recordedVotes: House roll 319 2025-12-10T22:24:21Z session 1]
2025-12-10 | Floor | Considered as unfinished business. (consideration: CR H5519-5520)
2025-12-10 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on S. 1071, the Chair put the question on motion to commit and by voice vote announced the noes had prevailed. Mr. Norcross demanded the yeas and nays and the Chair postponed further proceedings until a time to be announced.
2025-12-10 | Floor | The previous question on the motion to commit was ordered pursuant to clause 2(b) of rule XIX.
2025-12-10 | Floor | Mr. Norcross moved to commit to the Committee on Armed Services. (text: CR H5518)
2025-12-10 | Floor | The previous question was ordered pursuant to the rule.
2025-12-10 | Floor | DEBATE - The House proceeded with one hour of debate on S. 1071.
2025-12-10 | Floor | Rule provides for consideration of H.R. 3898, H.R. 3383, H.R. 3638, H.R. 3628, H.R. 3668 and S. 1071. The resolution provides for consideration of H.R. 3898, H.R. 3383, H.R. 3638, and H.R. 3628 under a structured rule; and H.R. 3668 and S. 1071 under a closed rule. The resolution provides for one motion to recommit on H.R. 3898, H.R. 3383, H.R. 3638, H.R. 3628, and H.R. 3668; and one motion to commit on S. 1071.
2025-12-10 | Floor | Considered under the provisions of rule H. Res. 936. (consideration: CR H5136-5518)
2025-12-10 | Floor | Rule H. Res. 936 passed House.
2025-12-11 | Floor | Motion by Senator Thune to refer to Senate Committee on Armed Services the House message to accompany S. 1071 with instructions to report back forthwith with the following amendment (SA 3963) made in Senate. (CR S8656)
2025-12-11 | Floor | Motion by Senator Thune to concur in the House amendment to S. 1071 with an amendment (SA 3961) made in Senate. (CR S8656)
2025-12-11 | Floor | Cloture motion on the motion to concur in the House amendment to S. 1071 presented in Senate. (CR S8655-8656)
2025-12-11 | Floor | Motion by Senator Thune to concur in the House amendment to S. 1071 made in Senate. (CR S8655)
2025-12-11 | Floor | Measure laid before Senate by motion. (consideration: CR S8655-8656)
2025-12-11 | Floor | Motion to proceed to consideration of the House message to accompany S. 1071 agreed to in Senate by Yea-Nay Vote. 75 - 22. Record Vote Number: 646. (CR S8655) [recordedVotes: Senate roll 646 2025-12-11T19:18:50Z session 1]
2025-12-15 | Floor | Considered by Senate (Message from the House considered). (consideration: CR S8707-8708)
2025-12-15 | Floor | Motion by Senator Thune to refer to Senate Committee on Armed Services the House message to accompany S. 1071 with instructions to report back forthwith with the following amendment (SA 3963) fell when cloture was invoked on the motion to concur in the House amendment to S. 1071 in Senate.
2025-12-15 | Floor | Cloture on the motion to concur in the House amendment to S. 1071 invoked in Senate by Yea-Nay Vote. 76 - 20. Record Vote Number: 647. (CR S8707) [recordedVotes: Senate roll 647 2025-12-15T23:20:29Z session 1]
2025-12-16 | Floor | Considered by Senate (Message from the House considered). (consideration: CR S8749)
2025-12-17 | ResolvingDifferences | Senate agreed to the House amendment to S. 1071 by Yea-Nay Vote. 77 - 20. Record Vote Number: 648. [recordedVotes: Senate roll 648 2025-12-17T17:26:14Z session 1]
2025-12-17 | NotUsed | Resolving differences -- Senate actions: Senate agreed to the House amendment to S. 1071 by Yea-Nay Vote. 77 - 20. Record Vote Number: 648. [recordedVotes: Senate roll 648 2025-12-17T17:26:14Z session 1]
2025-12-17 | Floor | Motion by Senator Thune to concur in the House amendment to S. 1071 with an amendment (SA 3961) withdrawn in Senate.
2025-12-17 | Floor | Considered by Senate (Message from the House considered).
2025-12-18 | President | Became Public Law No: 119-60.
2025-12-18 | BecameLaw | Became Public Law No: 119-60.
2025-12-18 | President | Signed by President.
2025-12-18 | BecameLaw | Signed by President.
2025-12-18 | Floor | Presented to President.
2025-12-18 | President | Presented to President.
2025-12-18 | Floor | Message on Senate action sent to the House.
