Congress.gov API record - S. 1383 (119th Congress) full action history
Source: https://api.congress.gov/v3/bill/119/s/1383/actions (fetched 2026-08-27)

2025-04-09 | IntroReferral | Read twice and referred to the Committee on Veterans' Affairs.
2025-04-09 | IntroReferral | Introduced in Senate
2025-05-21 | Committee | Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 119-86.
2025-07-30 | Committee | Committee on Veterans' Affairs. Ordered to be reported with an amendment in the nature of a substitute favorably.
2025-12-02 | Calendars | Placed on Senate Legislative Calendar under General Orders. Calendar No. 276.
2025-12-02 | Committee | Committee on Veterans' Affairs. Reported by Senator Moran with an amendment in the nature of a substitute. Without written report.
2025-12-02 | Committee | Committee on Veterans' Affairs. Reported by Senator Moran with an amendment in the nature of a substitute. Without written report.
2025-12-18 | Floor | Passed Senate with an amendment by Unanimous Consent. (consideration: CR S8894-8895; text: CR S8894-8895)
2025-12-18 | Floor | Passed/agreed to in Senate: Passed Senate with an amendment by Unanimous Consent.
2025-12-19 | Floor | Message on Senate action sent to the House.
2025-12-19 | Floor | Received in the House.
2025-12-19 | Floor | Held at the desk.
2026-02-11 | Floor | Rules Committee Resolution H. Res. 1057 Reported to House. Rule provides for consideration of S. 1383, H.R. 2189, H.R. 261 and H.R. 3617. The resolution provides for consideration of S. 1383, H.R. 2189, H.R. 261, and H.R. 3617 under a closed rule and provides for one motion to recommit H.R. 2189, H.R. 261, and H.R. 3617, and one motion to commit S. 1383.
2026-02-11 | Floor | Considered under the provisions of rule H. Res. 1057. (consideration: CR H2138-2149)
2026-02-11 | Floor | Rule provides for consideration of S. 1383, H.R. 2189, H.R. 261 and H.R. 3617. The resolution provides for consideration of S. 1383, H.R. 2189, H.R. 261, and H.R. 3617 under a closed rule and provides for one motion to recommit H.R. 2189, H.R. 261, and H.R. 3617, and one motion to commit S. 1383.
2026-02-11 | Floor | DEBATE - The House proceeded with one hour of debate on S. 1383.
2026-02-11 | Floor | The previous question was ordered pursuant to the rule.
2026-02-11 | Floor | Mr. Morelle moved to commit to the Committee on House Administration. (text: CR H2149)
2026-02-11 | Floor | The previous question on the motion to commit was ordered pursuant to clause 2(b) of rule XIX.
2026-02-11 | Floor | POSTPONED PROCEEDINGS - At the conclusion of debate on S. 1383, the Chair put the question on the motion to commit and by voice vote, announced the noes had prevailed. Mr. Morelle demanded the yeas and nays and the Chair postponed further proceedings until a time to be announced.
