SOURCE: Congress.gov API — bill/119/s/1884 (status, actions, cosponsors), fetched 2026-09-01
BILL: S. 1884, 119th Congress — Holocaust Expropriated Art Recovery Act of 2025
Origin chamber: Senate. Policy area: Law.
Introduced: 2025-05-22
Sponsor: Sen. Cornyn, John [R-TX] (R-TX)
Cosponsors: 21 (including withdrawn: 21)
Cosponsors by party: D = 11, R = 10
Became law: Public Law No. 119-82
Latest action (2026-04-13): Became Public Law No: 119-82.
CBO cost estimate: "S. 1884, Holocaust Expropriated Art Recovery Act of 2025" — As passed by the Senate on December 10, 2025 (published 2026-02-05) https://www.cbo.gov/publication/62083

FULL ACTION HISTORY (23 actions; date | source system | type | text)
2026-04-13 | Library of Congress | President | Became Public Law No: 119-82.
2026-04-13 | Library of Congress | BecameLaw | Became Public Law No: 119-82.
2026-04-13 | Library of Congress | President | Signed by President.
2026-04-13 | Library of Congress | BecameLaw | Signed by President.
2026-04-02 | House floor actions | Floor | Presented to President.
2026-04-02 | Library of Congress | President | Presented to President.
2026-03-16 | House floor actions | Floor | Motion to reconsider laid on the table Agreed to without objection.
2026-03-16 | House floor actions | Floor | On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H2497)
2026-03-16 | Library of Congress | Floor | Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H2497)
2026-03-16 | House floor actions | Floor | DEBATE - The House proceeded with forty minutes of debate on S. 1884.
2026-03-16 | House floor actions | Floor | Considered under suspension of the rules. (consideration: CR H2497-2500)
2026-03-16 | House floor actions | Floor | Ms. Lee (FL) moved to suspend the rules and pass the bill.
2025-12-11 | House floor actions | Floor | Held at the desk.
2025-12-11 | House floor actions | Floor | Received in the House.
2025-12-11 | Senate | Floor | Message on Senate action sent to the House.
2025-12-10 | Senate | Floor | Passed Senate with amendments by Unanimous Consent. (consideration: CR S8628-8629; text: CR S8629)
2025-12-10 | Library of Congress | Floor | Passed/agreed to in Senate: Passed Senate with amendments by Unanimous Consent.
2025-11-18 | Senate | Calendars | Placed on Senate Legislative Calendar under General Orders. Calendar No. 271.
2025-11-18 | Senate | Committee | Committee on the Judiciary. Reported by Senator Grassley with amendments. Without written report.
2025-11-18 | Library of Congress | Committee | Committee on the Judiciary. Reported by Senator Grassley with amendments. Without written report.
2025-11-06 | Senate | Committee | Committee on the Judiciary. Ordered to be reported with amendments favorably.
2025-05-22 | Senate | IntroReferral | Read twice and referred to the Committee on the Judiciary.
2025-05-22 | Library of Congress | IntroReferral | Introduced in Senate

COSPONSORS (21; name | party-state | date of cosponsorship | original?)
Sen. Blumenthal, Richard [D-CT] | D-CT | 2025-05-22 | original
Sen. Tillis, Thomas [R-NC] | R-NC | 2025-05-22 | original
Sen. Booker, Cory A. [D-NJ] | D-NJ | 2025-05-22 | original
Sen. Blackburn, Marsha [R-TN] | R-TN | 2025-05-22 | original
Sen. Fetterman, John [D-PA] | D-PA | 2025-05-22 | original
Sen. Schmitt, Eric [R-MO] | R-MO | 2025-05-22 | original
Sen. Britt, Katie Boyd [R-AL] | R-AL | 2025-05-22 | original
Sen. Welch, Peter [D-VT] | D-VT | 2025-06-03 | added later
Sen. Schiff, Adam B. [D-CA] | D-CA | 2025-06-04 | added later
Sen. McCormick, David [R-PA] | R-PA | 2025-09-19 | added later
Sen. Slotkin, Elissa [D-MI] | D-MI | 2025-10-08 | added later
Sen. Gillibrand, Kirsten E. [D-NY] | D-NY | 2025-10-14 | added later
Sen. Moreno, Bernie [R-OH] | R-OH | 2025-10-14 | added later
Sen. Grassley, Chuck [R-IA] | R-IA | 2025-10-20 | added later
Sen. Cruz, Ted [R-TX] | R-TX | 2025-10-28 | added later
Sen. Coons, Christopher A. [D-DE] | D-DE | 2025-11-06 | added later
Sen. Durbin, Richard J. [D-IL] | D-IL | 2025-11-06 | added later
Sen. Graham, Lindsey [R-SC] | R-SC | 2025-11-06 | added later
Sen. Scott, Rick [R-FL] | R-FL | 2025-12-08 | added later
Sen. Rosen, Jacky [D-NV] | D-NV | 2025-12-09 | added later
Sen. Warnock, Raphael G. [D-GA] | D-GA | 2025-12-09 | added later

