Congress.gov API record - S. 3971 (119th Congress) full action history
Source: https://api.congress.gov/v3/bill/119/s/3971/actions (fetched 2026-09-01)
Format: actionDate | type | sourceSystem | text

2026-03-03 | Floor | Senate | Introduced in the Senate, read twice, considered, read the third time, and passed without amendment by Voice Vote. (consideration: CR S752-756; text: CR S752-756)
2026-03-03 | Floor | Library of Congress | Passed/agreed to in Senate: Introduced in the Senate, read twice, considered, read the third time, and passed without amendment by Voice Vote.
2026-03-03 | IntroReferral | Library of Congress | Introduced in Senate
2026-03-04 | Floor | House floor actions | Held at the desk.
2026-03-04 | Floor | House floor actions | Received in the House.
2026-03-04 | Floor | Senate | Message on Senate action sent to the House.
2026-03-16 | Floor | House floor actions | At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.
2026-03-16 | Floor | House floor actions | DEBATE - The House proceeded with forty minutes of debate on S. 3971.
2026-03-16 | Floor | House floor actions | Considered under suspension of the rules. (consideration: CR H2491-2497; text: CR H2491-2495)
2026-03-16 | Floor | House floor actions | Ms. Van Duyne moved to suspend the rules and pass the bill.
2026-03-17 | Floor | House floor actions | Motion to reconsider laid on the table Agreed to without objection.
2026-03-17 | Floor | House floor actions | On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 345 - 41 (Roll no. 89).
2026-03-17 | Floor | Library of Congress | Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 345 - 41 (Roll no. 89).
2026-03-17 | Floor | House floor actions | Considered as unfinished business. (consideration: CR H2545-2546)
2026-04-02 | Floor | House floor actions | Presented to President.
2026-04-02 | President | Library of Congress | Presented to President.
2026-04-13 | President | Library of Congress | Became Public Law No: 119-83.
2026-04-13 | BecameLaw | Library of Congress | Became Public Law No: 119-83.
2026-04-13 | President | Library of Congress | Signed by President.
2026-04-13 | BecameLaw | Library of Congress | Signed by President.
